id,name,terminalName,Y,longitude,installed,locked,installDate,temporary,available_bikes,empty_docks,total_docks
8,"Lodge Road, St. John's Wood",3423,51.52834133,-0.170134484,TRUE,FALSE,1.28E+12,0,0,18,18
7,"Charlbert Street, St. John's Wood",3422,51.53430039,-0.1680743,TRUE,FALSE,1.28E+12,0,0,16,16
5,"Sedding Street, Sloane Square",3420,51.49313,-0.156876,TRUE,FALSE,1.28E+12,0,26,0,27
66,"Holborn Circus, Holborn",982,51.51795029,-0.108657431,TRUE,FALSE,1.28E+12,0,28,9,39
24,"British Museum, Bloomsbury",981,51.51908011,-0.124678402,TRUE,FALSE,1.28E+12,0,27,6,35
42,"Wenlock Road , Hoxton",979,51.53099181,-0.093903825,TRUE,FALSE,1.28E+12,0,2,25,28
407,"Speakers' Corner 1, Hyde Park",977,51.51222,-0.160785,TRUE,FALSE,-1,1,4,14,20
62,"Cotton Garden Estate, Kennington",990,51.4907579,-0.106323685,TRUE,FALSE,1.28E+12,0,7,17,24
51,"Finsbury Library , Finsbury",986,51.52671796,-0.104298194,TRUE,FALSE,1.28E+12,0,25,4,29
12,"Malet Street, Bloomsbury",980,51.52168078,-0.130431727,TRUE,FALSE,1.28E+12,0,44,1,49
55,"Finsbury Circus, Liverpool Street",984,51.51707521,-0.086685542,TRUE,FALSE,1.28E+12,0,25,8,33
6,"Broadcasting House, Marylebone",3424,51.51811784,-0.144228881,TRUE,FALSE,1.28E+12,0,18,0,18
77,"Russell Square Station, Bloomsbury",978,51.52341837,-0.124121774,TRUE,FALSE,1.28E+12,0,12,12,26
69,"Euston Road, Euston",983,51.5262363,-0.134407652,TRUE,FALSE,1.28E+12,0,2,20,24
23,"Red Lion Square, Holborn",3421,51.51943538,-0.119123345,TRUE,FALSE,1.28E+12,0,14,0,16
68,"Theobalds Road , Holborn",975,51.52059681,-0.116688468,TRUE,FALSE,1.28E+12,0,25,0,26
13,"Scala Street, Fitzrovia",970,51.51991453,-0.136039674,TRUE,FALSE,1.28E+12,0,14,6,21
54,"Golden Lane, Barbican",967,51.52174785,-0.094475072,TRUE,FALSE,1.28E+12,0,22,4,27
